,open,high,low,close,volume
2020-01-01,7324.4679099479,7577.910858784641,7145.197366654052,7357.453676067235,47868316601.35553
2020-01-02,7331.829244000695,7343.56718329505,7248.220901966222,7331.477655782538,26762677155.438538
2020-01-03,7552.54403968939,7666.8793160106325,7485.863223652266,7536.0811728937715,19930401364.163296
2020-01-04,8039.3088463607655,8030.103134935155,7890.192611100135,8010.260400304824,27436040485.38613
2020-01-05,7925.752534327874,7988.114779996189,7797.998465825835,7951.255740899669,26416145096.571674
2020-01-06,7916.36928708073,7996.770972893078,7721.599515557594,7892.6909394575105,19874047940.7701
2020-01-07,8411.47697658527,8535.789720702563,8316.956482100419,8407.04586855364,41103170630.538445
2020-01-08,8672.953177670017,8749.338879805857,8601.921924563503,8681.93431905513,35785420436.757614
2020-01-09,8504.822592352743,8617.301170189787,8503.216731507197,8536.260356366602,56388304284.699135
2020-01-10,8770.511928213733,8761.389303322672,8566.178039896738,8738.590228719791,14619146480.290396
2020-01-11,8564.628492308242,8672.259593395333,8534.724841270905,8594.082716288158,47453470923.49324
2020-01-12,8435.09492916359,8696.226573620073,8339.958384655483,8451.170080695962,55043871832.74955
2020-01-13,8531.916165498373,8792.18066708757,8519.81502062701,8549.866993261996,56103966221.77858
2020-01-14,7942.023699839453,7992.128153750794,7800.547548699052,7912.6350627421225,64524382813.34598
2020-01-15,7395.264343615869,7508.9446441931095,7275.681376116046,7382.514519991935,56780506207.74763
2020-01-16,7252.689446224315,7428.560675424596,7139.661605325612,7231.235715070643,69699291393.0637
2020-01-17,6935.388052037881,6954.027198514663,6900.449028768885,6952.737363672893,35155321284.52761
2020-01-18,7062.846671675994,7225.595786692359,7046.565764102311,7054.038005231027,46301973765.009834
2020-01-19,6816.82391861051,7005.743626503148,6622.611796085836,6811.936627705833,16527610301.290804
2020-01-20,6462.176306232081,6458.385726580649,6257.842132143017,6440.73956845843,16361362262.534601
2020-01-21,6858.9562107078755,6864.302046569006,6818.417315228224,6831.215528373564,31728244888.774475
2020-01-22,6750.093588441002,6978.692490951184,6687.516679941636,6783.184896637416,23072135933.854538
2020-01-23,6826.933103776578,6924.974786295437,6736.339590333428,6815.073518356137,34068850622.300884
2020-01-24,6411.44994219673,6443.056043162733,6340.312497947332,6440.313120025279,28931984032.657867
2020-01-25,6316.038363163469,6361.746506377915,6141.302975526316,6312.953938142344,19132722443.765556
2020-01-26,6340.0968687043905,6439.352540371394,6309.385865109014,6353.589814000142,80695769655.59987
2020-01-27,6062.043387849314,6200.036625922581,6027.720298916615,6073.779350848546,18201376681.115444
2020-01-28,6168.120132182728,6313.069602859997,6049.650731165299,6177.20318418955,70340272923.97986
2020-01-29,6048.474356468816,6221.551529094505,5915.413582420471,6041.146901441373,29012690083.01143
2020-01-30,5972.814240130402,6034.345768581316,5953.638005165309,5982.742603534917,84749635380.6849
2020-01-31,5864.328412988348,5945.183011639271,5687.892689984261,5850.713857389448,84177022572.4421
2020-02-01,6289.890409233191,6396.633842859246,6273.444763351566,6295.901270778091,67214461147.25784
2020-02-02,6277.878249138414,6381.8229301126285,6164.489448296605,6305.093985544466,69189518516.4631
2020-02-03,6068.115654273389,6081.653182865212,5977.060687570971,6050.945500851374,19315970584.19387
2020-02-04,6248.71826766968,6445.763299421765,6250.109977713469,6262.134369258636,94138179540.04178
2020-02-05,5964.842111222705,6121.654959549945,5911.217953782045,5968.855158798166,86592505134.89151
2020-02-06,6041.843420936843,6120.818241757426,5924.718690975042,6030.659930976933,88495599427.7979
2020-02-07,5560.664899911916,5670.799344492613,5518.118280517282,5569.997087078312,70688223259.06822
2020-02-08,5261.7819723281,5321.251106445507,5181.201077395835,5285.217384313975,46491114595.360825
2020-02-09,5330.676650530532,5424.478367230883,5221.679038260276,5337.405996127124,89824826646.51715
2020-02-10,5530.210832468516,5620.530405494309,5505.192815855043,5505.740646199658,42713510194.0468
2020-02-11,5562.365126408523,5640.337241802439,5512.965486186023,5554.492499940738,64341975837.73244
2020-02-12,5549.406569244955,5704.489410300459,5480.860238025984,5539.906784254359,27774930584.350513
2020-02-13,5491.517842979343,5584.84589695274,5378.190304183798,5484.263141584501,93314240185.83604
2020-02-14,5155.322743710211,5228.435421874835,5023.387049527757,5170.887521635901,31176970792.74268
2020-02-15,5028.23024170078,5148.911904387327,4886.058423260521,5032.33995929077,37944159544.03073
2020-02-16,4962.101722983064,4974.993055114669,4883.481186326715,4949.68100345337,64628051367.20262
2020-02-17,5148.272532594892,5228.502526780327,5131.976369115423,5168.877077518041,81127094128.80792
2020-02-18,5238.596353605654,5304.908397109783,5177.393278463391,5250.259659687732,69533276924.79532
2020-02-19,4879.5643130793005,4953.856057216071,4867.144200186269,4890.503434762686,38533013982.36461
2020-02-20,4960.307428138113,5080.096980876635,4819.74889869453,4963.681792251282,20029349760.07175
2020-02-21,4920.676507662287,4968.284189405512,4804.118777346475,4897.152119682942,80236254785.0044
2020-02-22,4753.697895151526,4888.073834630995,4665.072106940685,4774.346823575974,98165380589.89209
2020-02-23,4901.626188537423,4985.465849999916,4819.44706518078,4900.709707090491,83982371057.86201
2020-02-24,5096.22344768582,5165.082394254123,4970.338794014148,5112.616301220735,56073586027.298004
2020-02-25,5338.301072838114,5442.402273720311,5305.981290191041,5313.292650543028,90720011524.12447
2020-02-26,5125.661207966678,5182.342909991013,5025.655351297531,5145.558903910283,51640965270.868195
2020-02-27,5087.298365267317,5126.4853407397495,5080.3384548111035,5092.207201967685,60330171044.60109
2020-02-28,5182.164432799577,5248.112474513888,5080.824432191714,5169.8660976172905,56279846634.480545
2020-02-29,5392.952340398488,5424.059612826675,5379.606088151522,5381.943336988749,53651776902.72985
2020-03-01,5285.464371112423,5290.99367002732,5218.7867429918115,5289.551679797602,78295763912.73181
2020-03-02,5252.774541808173,5363.1665286695,5249.932338040287,5260.848673081934,58876700535.18869
2020-03-03,5033.401073555879,5115.815240789161,4888.211673175746,5038.559935228747,42607038597.39637
2020-03-04,4796.218166114596,4871.806188770428,4771.240063145579,4807.5507042852805,37872202308.81623
2020-03-05,4958.761150009997,5117.690274655577,4958.951085798063,4973.416169281901,21246165716.834282
2020-03-06,5252.277891797448,5343.187017847904,5117.593051651979,5253.168845121323,60911910518.27258
2020-03-07,5236.395322227527,5384.4966867129215,5106.223234499061,5248.543929722798,34720339748.99723
2020-03-08,5458.099216223256,5492.607108673773,5375.301598696526,5469.724477562575,28481453041.490562
2020-03-09,5568.5012047641,5654.725885336841,5548.723970761464,5559.78590324456,63900635926.13163
2020-03-10,5452.865931879322,5568.763492089794,5352.926331600152,5427.436366348722,65024674200.251724
2020-03-11,5522.466709702166,5613.254753599686,5438.542178397783,5516.749305160419,69071957846.56705
2020-03-12,5842.3619085834,5993.56287070421,5716.006227065977,5867.181290145237,51233076670.57484
2020-03-13,5845.592341280552,5936.030277383122,5694.531550858224,5870.50773807089,76672854702.36382
2020-03-14,6277.871272420848,6266.992199398866,6214.06207117102,6249.658861098218,78322952143.82716
2020-03-15,5595.89122300757,5684.28459866964,5453.771515305665,5607.257650676688,68722324139.34712
2020-03-16,5779.145324213257,5871.489680842119,5739.075856083524,5802.816930208774,56623860479.604614
2020-03-17,5840.406174634336,5986.396482241683,5819.681857177579,5834.627292121091,34805566851.04056
2020-03-18,5783.655276169901,5818.795947603831,5639.375720855419,5776.512688802414,76135467338.54106
2020-03-19,5817.895048781882,5977.748552323042,5750.932411686258,5809.268005779687,31773163216.02508
2020-03-20,5346.568717833454,5513.074556415693,5210.915159740943,5359.033721596317,26917829412.007202
2020-03-21,5296.853604462263,5362.204417609285,5259.390296245819,5322.662626855193,40346289737.38225
2020-03-22,5434.4938018820785,5465.821477786661,5273.6622255870825,5409.3395416275325,17519122282.97316
2020-03-23,5725.636870117996,5894.148412787337,5694.467162951614,5739.935448493034,68648875658.73274
2020-03-24,5642.336358528585,5795.754538008405,5514.349012504023,5632.421815479334,45818839682.40598
2020-03-25,5472.820742705798,5534.191331961565,5373.614305925589,5461.535578845849,43090859204.60783
2020-03-26,5368.743618452416,5414.487805479323,5298.3983456487,5362.844092184603,47224611782.454414
2020-03-27,5559.515195271051,5657.845435552183,5431.457508672419,5569.936133924646,37992896743.33603
2020-03-28,5641.377961187555,5770.986947801112,5610.495033018869,5654.320913582948,13981880974.205893
