date,close
2020-01-01,10154.014245903369
2020-01-02,10116.973122512558
2020-01-03,10318.61103502554
2020-01-04,10795.236921033207
2020-01-05,10724.80230481379
2020-01-06,10654.832528700275
2020-01-07,11164.947387256883
2020-01-08,11427.58091217489
2020-01-09,11272.34600668702
2020-01-10,11461.459915911488
2020-01-11,11307.847346554616
2020-01-12,11155.509241484266
2020-01-13,11242.06336680137
2020-01-14,10602.407866018006
2020-01-15,10059.060598080889
2020-01-16,9894.407598474523
2020-01-17,9598.713884283508
2020-01-18,9694.00434826009
2020-01-19,9434.779670341395
2020-01-20,9039.753832685385
2020-01-21,9441.746831888604
2020-01-22,9382.51602520952
2020-01-23,9406.214817101263
2020-01-24,9008.87329951584
2020-01-25,8866.249486414821
2020-01-26,8900.186631779436
2020-01-27,8597.314995564187
2020-01-28,8698.513479269779
2020-01-29,8546.122823796524
2020-01-30,8475.610366828409
2020-01-31,8326.853247999801
2020-02-01,8793.726133130123
2020-02-02,8794.562269259606
2020-02-03,8519.896411566864
2020-02-04,8734.396283122065
2020-02-05,8418.863514106224
2020-02-06,8475.824768845596
2020-02-07,7981.768063987611
2020-02-08,7667.720758375663
2020-02-09,7716.838928298647
2020-02-10,7891.65617731548
2020-02-11,7936.1733920496
2020-02-12,7912.60733409985
2020-02-13,7845.088178465569
2020-02-14,7501.036660907815
2020-02-15,7342.799845318942
2020-02-16,7244.999896357058
2020-02-17,7478.387908887021
2020-02-18,7559.218428700901
2020-02-19,7163.181868926521
2020-02-20,7236.407632268341
2020-02-21,7156.427465492798
2020-02-22,7014.675383375967
2020-02-23,7146.904039245459
2020-02-24,7371.531130818675
2020-02-25,7581.165708071411
2020-02-26,7394.088877665405
2020-02-27,7329.195608430698
2020-02-28,7405.6970408352145
2020-02-29,7626.13763918957
2020-03-01,7520.323247280306
2020-03-02,7482.1969433558115
2020-03-03,7237.603557002423
2020-03-04,6981.492279260241
2020-03-05,7155.162308072211
2020-03-06,7449.863415220109
2020-03-07,7437.494379819112
2020-03-08,7665.126235650088
2020-03-09,7752.118372268377
2020-03-10,7605.963090394883
2020-03-11,7692.228921035918
2020-03-12,8051.002916241844
2020-03-13,8046.375351339417
2020-03-14,8428.089843388228
2020-03-15,7769.920475188577
2020-03-16,7965.388948346786
2020-03-17,7990.172555480869
2020-03-18,7922.494031991227
2020-03-19,7948.264505141425
2020-03-20,7478.306933730653
2020-03-21,7432.762873138689
2020-03-22,7516.109246467167
2020-03-23,7853.107693939814
2020-03-24,7734.933292626845
2020-03-25,7551.191436696328
2020-03-26,7441.301127690148
2020-03-27,7649.375262576385
2020-03-28,7728.642168380932
2020-03-29,7609.676677966203
2020-03-30,7730.655492764854
2020-03-31,7757.035013213984
2020-04-01,7986.32792392873
2020-04-02,7822.116301059296
2020-04-03,7749.137016665551
2020-04-04,7661.856591054701
2020-04-05,7329.290269806635
2020-04-06,7398.065458902993
2020-04-07,7459.703611391801
2020-04-08,7464.577809326971
2020-04-09,7415.777280927262
2020-04-10,7104.602943778126
2020-04-11,7018.499705297858
2020-04-12,6949.848703153174
2020-04-13,6786.052458332677
2020-04-14,6756.610685557492
2020-04-15,6841.889421000124
2020-04-16,7232.462626616581
2020-04-17,7273.957683132171
2020-04-18,7333.796981275482
2020-04-19,7321.084742796694
2020-04-20,6903.3206850907945
2020-04-21,6901.281331888425
2020-04-22,6917.2019412588215
2020-04-23,7431.822835897662
2020-04-24,7392.650968991742
2020-04-25,7463.224322051222
2020-04-26,7459.184082494478
2020-04-27,7201.392136062551
2020-04-28,7451.890289011422
2020-04-29,7623.715908083892
2020-04-30,7808.445851192174
2020-05-01,7599.322993162224
2020-05-02,7922.93126651202
2020-05-03,7593.689643653573
2020-05-04,7731.178807540273
2020-05-05,8243.088520337627
2020-05-06,8002.25770627793
2020-05-07,7870.309024008224
2020-05-08,7897.772789657348
2020-05-09,7782.431586412162
2020-05-10,7424.284840230668
2020-05-11,7443.267914284388
2020-05-12,7209.779213813451
2020-05-13,7315.819009286744
2020-05-14,7117.686680079191
2020-05-15,7452.203947506925
2020-05-16,7280.821151169301
2020-05-17,7214.115392769848
2020-05-18,7393.786662869527
2020-05-19,7124.46111120142
2020-05-20,7176.639225510327
2020-05-21,7461.654304034828
2020-05-22,7105.550605312018
2020-05-23,7148.461137372333
2020-05-24,7207.768229589716
2020-05-25,7380.428055395404
2020-05-26,7110.241497531925
2020-05-27,6832.133656099423
2020-05-28,6942.528959036525
2020-05-29,7007.854964345384
2020-05-30,7064.021418772438
2020-05-31,7140.972956653284
2020-06-01,6998.862298732181
2020-06-02,7051.127079225587
2020-06-03,7116.64738034476
2020-06-04,6967.692089602644
2020-06-05,7361.180204716013
2020-06-06,7469.499880351128
2020-06-07,7206.281390396793
2020-06-08,7351.823832642865
2020-06-09,7140.529106586665
2020-06-10,7312.705386811035
2020-06-11,7570.535783456728
2020-06-12,7387.9309056105
