date,open,high,low,close,volume
2026-02-28,1929.84,1984.99,1835.36,1964.51,461680.9835
2026-03-01,1964.51,2054.8,1907.41,1939.71,529196.8464
2026-03-02,1939.71,2090.0,1920.0,2027.35,577406.3749
2026-03-03,2027.34,2041.48,1929.56,1982.8,509329.8534
2026-03-04,1982.81,2199.0,1945.08,2127.28,737644.8152
2026-03-05,2127.28,2163.66,2054.75,2072.86,432157.8126
2026-03-06,2072.86,2093.33,1955.95,1978.68,411597.7569
2026-03-07,1978.68,1996.04,1948.09,1969.59,184459.82
2026-03-08,1969.6,1979.8,1916.14,1937.1,391189.7317
2026-03-09,1937.11,2053.52,1929.65,1992.98,550825.4883
2026-03-10,1992.97,2088.19,1991.0,2036.51,463411.8739
2026-03-11,2036.5,2085.58,2007.17,2051.97,350061.256
2026-03-12,2051.97,2095.0,2017.59,2073.52,400507.8132
2026-03-13,2073.51,2209.03,2070.12,2092.22,599657.0399
2026-03-14,2092.21,2106.09,2061.6,2096.16,152500.5822
2026-03-15,2096.16,2202.87,2083.35,2178.3,280825.9377
2026-03-16,2178.29,2386.02,2164.73,2352.97,845892.7756
2026-03-17,2352.97,2376.66,2294.15,2317.39,493831.1016
2026-03-18,2317.38,2350.0,2153.21,2203.39,488040.8887
2026-03-19,2203.39,2233.72,2099.38,2137.81,490791.679
2026-03-20,2137.82,2176.84,2116.88,2146.22,300156.1778
2026-03-21,2146.21,2168.27,2070.78,2084.87,132559.4646
2026-03-22,2084.86,2127.21,2026.0,2053.89,313070.5572
2026-03-23,2053.9,2198.57,2023.04,2152.03,614508.4369
2026-03-24,2152.03,2175.16,2103.02,2156.23,316703.4728
2026-03-25,2156.22,2199.02,2146.35,2169.02,275641.5255
2026-03-26,2169.02,2172.19,2034.54,2060.43,338010.6238
2026-03-27,2060.43,2077.19,1970.93,1992.75,394873.5248
2026-03-28,1992.76,2047.45,1983.17,1994.74,154831.8055
2026-03-29,1994.74,2019.65,1938.82,1984.64,166726.7382
2026-03-30,1984.65,2085.0,1980.28,2026.48,338304.4344
2026-03-31,2026.48,2124.03,2012.64,2105.43,421897.9023
2026-04-01,2105.43,2167.85,2082.08,2140.35,399227.3779
2026-04-02,2140.35,2159.37,2017.04,2057.17,346872.8323
2026-04-03,2057.18,2081.76,2040.66,2053.83,136266.6393
2026-04-04,2053.83,2084.0,2044.63,2065.52,86504.4406
2026-04-05,2065.51,2123.49,2021.5,2110.17,157353.3199
2026-04-06,2110.17,2174.79,2087.5,2107.16,356054.2894
2026-04-07,2107.16,2273.87,2060.24,2240.01,460094.8093
2026-04-08,2240.01,2270.55,2179.78,2190.0,404717.6321
2026-04-09,2190.0,2246.0,2157.31,2190.2,275317.9503
2026-04-10,2190.17,2257.99,2176.1,2245.05,272899.0858
2026-04-11,2245.06,2329.93,2229.0,2284.99,214785.4039
2026-04-12,2285.0,2288.57,2175.0,2191.65,258156.8821
2026-04-13,2191.64,2394.71,2175.68,2369.46,453870.8292
2026-04-14,2369.46,2415.5,2302.9,2322.44,460107.3841
2026-04-15,2322.44,2385.61,2308.5,2359.95,268190.6377
2026-04-16,2359.94,2369.59,2285.1,2348.17,328960.9377
2026-04-17,2348.16,2464.91,2317.43,2419.0,491731.3615
2026-04-18,2419.0,2427.64,2339.92,2350.32,221741.3888
2026-04-19,2350.33,2355.3,2252.72,2263.27,256086.8276
2026-04-20,2263.28,2346.78,2259.67,2313.85,301000.0659
2026-04-21,2313.84,2338.75,2284.19,2327.14,226645.977
2026-04-22,2327.15,2423.75,2312.95,2374.07,379707.1259
2026-04-23,2374.08,2382.0,2285.42,2330.26,356645.6923
2026-04-24,2330.27,2337.5,2300.22,2314.99,183887.6181
2026-04-25,2314.98,2323.21,2300.55,2319.5,68139.2191
2026-04-26,2319.49,2380.0,2306.72,2369.44,154591.6219
2026-04-27,2369.45,2404.37,2266.09,2303.67,300363.8586
2026-04-28,2303.66,2310.88,2258.24,2289.42,187932.2201
2026-04-29,2289.42,2346.95,2220.36,2252.9,355078.1015
2026-04-30,2252.9,2279.0,2231.64,2257.51,167194.2776
2026-05-01,2257.51,2325.28,2257.21,2295.63,191082.555
2026-05-02,2295.63,2343.6,2292.91,2316.97,85588.4724
2026-05-03,2316.97,2356.92,2297.59,2322.65,151074.4342
2026-05-04,2322.65,2398.93,2309.24,2347.16,453020.7985
2026-05-05,2347.17,2399.5,2344.93,2360.77,286636.7312
2026-05-06,2360.76,2423.74,2338.0,2350.84,420667.3161
2026-05-07,2350.84,2352.3,2280.1,2291.06,469521.9378
2026-05-08,2291.06,2321.22,2265.61,2307.06,421035.1582
2026-05-09,2307.07,2338.37,2300.0,2326.44,230431.157
2026-05-10,2326.43,2382.53,2311.83,2371.27,398122.8623
2026-05-11,2371.26,2374.92,2304.0,2339.87,236962.0552
2026-05-12,2339.88,2340.85,2256.27,2274.96,252981.1082
2026-05-13,2274.97,2323.36,2234.13,2258.65,258455.7299
2026-05-14,2258.66,2319.33,2238.64,2283.25,256680.8359
2026-05-15,2283.26,2300.29,2205.11,2224.66,288536.5507
2026-05-16,2224.65,2231.51,2162.55,2180.77,199288.5761
2026-05-17,2180.77,2198.14,2091.48,2131.0,175116.8149
2026-05-18,2131.0,2157.24,2077.23,2130.08,381878.3932
2026-05-19,2130.08,2146.95,2094.47,2111.93,186945.075
2026-05-20,2111.93,2149.0,2103.29,2129.44,189088.294
2026-05-21,2129.44,2157.5,2105.15,2133.76,232889.1117
2026-05-22,2133.77,2141.39,2057.79,2065.85,221783.2548
2026-05-23,2065.86,2149.95,2009.3,2117.68,350546.2289
2026-05-24,2117.69,2132.14,2063.0,2099.85,197748.7605
2026-05-25,2099.86,2141.98,2092.26,2113.01,166428.5979
2026-05-26,2113.01,2140.49,2055.06,2073.77,282553.3096
2026-05-27,2073.77,2097.4,2016.0,2024.84,267963.1573
2026-05-28,2024.83,2029.2,1967.0,1994.55,161226.0561
