timestamp,open,high,low,close,volume
2026-02-16,68796.9,70110.9,67250.0,68862.5,149579.748
2026-02-17,68862.6,69228.6,66588.0,67475.9,149185.122
2026-02-18,67475.9,68438.0,65826.1,66422.8,163973.391
2026-02-19,66422.8,67299.4,65595.7,66974.0,147432.601
2026-02-20,66973.9,68283.7,66408.1,67979.3,225303.971
2026-02-21,67979.3,68687.0,67488.9,67933.1,87495.493
2026-02-22,67933.2,68220.0,67150.0,67613.5,84343.422
2026-02-23,67613.6,67655.8,63860.0,64625.8,277151.296
2026-02-24,64625.8,64980.0,62401.7,64031.3,223150.569
2026-02-25,64031.4,69999.0,63876.0,67952.5,299238.818
2026-02-26,67952.5,68850.0,66462.0,67448.2,177837.055
2026-02-27,67448.1,68188.8,64875.6,65836.0,205957.364
2026-02-28,65836.0,67735.0,62979.5,66937.1,257922.786
2026-03-01,66937.0,68189.0,65011.0,65750.0,219111.436
2026-03-02,65749.9,70100.0,65234.4,68801.8,277378.032
2026-03-03,68801.8,69221.6,66080.0,68295.3,257469.9
2026-03-04,68295.2,74046.5,67350.0,72641.4,357143.496
2026-03-05,72641.4,73539.1,70612.8,70854.8,226168.28
2026-03-06,70854.8,71387.5,67712.3,68083.0,213382.703
2026-03-07,68083.0,68524.9,66850.1,67232.1,94570.162
2026-03-08,67232.1,68171.6,65569.2,65934.3,155747.973
2026-03-09,65934.3,69498.0,65770.5,68394.1,237211.547
2026-03-10,68394.0,71748.1,68345.0,69901.9,265674.484
2026-03-11,69901.8,71286.0,68932.9,70150.0,195627.956
2026-03-12,70150.0,70756.5,69150.0,70480.1,186490.593
2026-03-13,70480.1,73870.0,70342.7,70895.5,300232.121
2026-03-14,70895.5,71272.3,70256.0,71174.4,79283.014
2026-03-15,71174.4,73199.9,70815.7,72778.9,126474.242
2026-03-16,72778.8,74880.0,72235.6,74846.4,269076.99
2026-03-17,74846.4,75998.9,73330.3,73872.4,218278.973
2026-03-18,73872.3,74633.0,70456.0,71202.9,226755.469
2026-03-19,71202.9,71598.3,68750.0,69887.4,218646.177
2026-03-20,69887.4,71342.2,69350.0,70472.7,186241.517
2026-03-21,70472.6,71077.7,68511.3,68881.5,74084.886
2026-03-22,68881.5,69555.8,67300.0,67830.6,134880.564
2026-03-23,67830.7,71789.8,67400.1,70865.9,291099.678
2026-03-24,70866.0,71377.5,68884.5,70523.9,196191.95
2026-03-25,70524.0,71999.9,70375.0,71297.5,166515.849
2026-03-26,71297.5,71408.1,68115.8,68788.0,186473.614
2026-03-27,68788.1,69142.7,65501.0,66364.2,212351.048
2026-03-28,66364.1,67284.0,65888.0,66334.8,89373.492
2026-03-29,66334.8,67100.0,64918.2,65977.9,110278.396
2026-03-30,65978.0,68148.4,65754.2,66764.4,187059.065
2026-03-31,66764.4,68600.0,65938.0,68241.5,243333.085
2026-04-01,68241.4,69288.0,67534.9,68086.5,157276.22
2026-04-02,68086.4,68639.1,65676.1,66868.5,188358.921
2026-04-03,66868.6,67350.0,66240.0,66930.0,79267.833
2026-04-04,66930.0,67554.5,66745.5,67271.0,50770.337
2026-04-05,67271.1,69108.0,66575.5,68997.9,104918.169
2026-04-06,68997.9,70332.5,68227.5,68817.9,166757.236
2026-04-07,68817.9,72743.4,67711.0,71890.2,232828.247
2026-04-08,71890.2,72858.5,70671.6,71038.1,183378.492
2026-04-09,71038.2,73128.0,70428.0,71750.4,175806.457
2026-04-10,71750.4,73450.0,71382.1,72917.4,156569.666
2026-04-11,72917.4,73773.4,72451.9,73013.4,80169.67
2026-04-12,73013.4,73094.4,70458.2,70711.1,134822.989
2026-04-13,70711.2,74870.0,70517.3,74385.0,213029.519
2026-04-14,74384.9,76009.0,73766.8,74106.9,183261.49
2026-04-15,74106.9,75425.6,73449.0,74776.2,131029.771
2026-04-16,74776.3,75500.0,73256.8,75106.8,158397.725
2026-04-17,75106.8,78300.0,74480.0,77030.6,239395.915
2026-04-18,77030.6,77380.0,75395.9,75653.8,105894.391
2026-04-19,75653.8,76200.0,73700.2,73758.4,128978.211
2026-04-20,73758.4,76531.0,73669.0,75790.1,166149.667
2026-04-21,75790.1,76999.0,74777.9,76288.2,164760.987
2026-04-22,76288.3,79444.0,76078.6,78139.8,191087.096
2026-04-23,78139.7,78648.0,76504.6,78216.8,172485.012
2026-04-24,78217.4,78546.0,77206.8,77395.4,127783.005
2026-04-25,77395.3,77847.0,77100.0,77585.0,46592.486
2026-04-26,77585.0,78994.8,77280.0,78613.5,79943.305
2026-04-27,78614.4,79455.0,76400.0,77331.2,169100.883
2026-04-28,77331.2,77450.0,75635.6,76298.1,103918.877
2026-04-29,76298.2,77873.2,74868.0,75749.9,186533.503
2026-04-30,75749.9,76630.3,75273.5,76305.4,99754.46
2026-05-01,76305.4,78879.9,76265.4,78192.0,152998.306
2026-05-02,78191.9,79145.0,77979.3,78652.9,51441.108
2026-05-03,78652.8,79428.9,78027.0,78529.0,72033.621
2026-05-04,78529.0,80771.7,78128.3,79826.1,280916.582
2026-05-05,79826.1,81745.4,79761.2,80861.9,170921.528
2026-05-06,80861.9,82828.7,80651.2,81390.1,158200.508
2026-05-07,81390.0,81680.6,79461.5,79969.4,134727.652
2026-05-08,79969.5,80478.0,79137.4,80155.2,106762.913
2026-05-09,80155.2,81043.2,80080.0,80634.0,55957.334
2026-05-10,80634.0,82460.5,80225.1,82177.7,94950.803
2026-05-11,82177.7,82350.0,80394.0,81699.1,121990.421
2026-05-12,81699.1,81757.3,79801.0,80461.0,121313.956
2026-05-13,80461.0,81270.2,78713.8,79288.3,139700.645
2026-05-14,79288.2,81999.0,78869.4,81048.9,175883.625
2026-05-15,81048.8,81623.8,78610.0,79074.0,153823.505
2026-05-16,79074.0,79199.7,77601.8,78104.2,86150.451
2026-05-17,78104.3,78564.3,76666.0,77430.4,86217.669
2026-05-18,77430.4,77757.5,76014.2,76963.2,178363.499
2026-05-19,76963.2,77384.6,76107.1,76799.9,99046.639
2026-05-20,76800.0,77825.8,76485.0,77510.3,107607.406
2026-05-21,77510.3,78180.0,76696.7,77586.2,117095.161
2026-05-22,77586.3,77862.7,75322.0,75513.1,116206.213
2026-05-23,75513.1,77427.0,74203.6,76715.2,153827.753
2026-05-24,76715.3,77600.0,76056.0,77030.3,91134.277
2026-05-25,77030.3,77887.9,76871.4,77281.5,76708.408
2026-05-26,77281.5,77319.6,77158.3,77159.7,804.719
