timestamp,open,high,low,close,volume
2026-04-07,79.96,87.19,78.3,85.54,35723204.98
2026-04-08,85.53,85.89,82.17,82.52,21627658.15
2026-04-09,82.52,85.93,81.36,83.29,23354949.1
2026-04-10,83.29,85.66,82.63,84.78,18357336.37
2026-04-11,84.78,86.23,83.75,84.89,13261458.18
2026-04-12,84.89,84.97,81.23,81.49,18669267.1
2026-04-13,81.48,86.8,81.35,86.5,26359437.2
2026-04-14,86.49,87.64,83.26,83.66,24478880.13
2026-04-15,83.66,85.81,82.6,84.85,20457124.11
2026-04-16,84.86,90.58,83.7,89.03,29852458.48
2026-04-17,89.02,90.71,87.26,88.71,28352477.45
2026-04-18,88.71,89.11,85.71,86.11,14302873.32
2026-04-19,86.1,87.08,82.77,83.41,21028754.4
2026-04-20,83.42,86.19,83.27,85.24,19331162.18
2026-04-21,85.25,86.87,84.26,86.0,18688026.07
2026-04-22,86.01,89.29,85.97,86.83,21901019.81
2026-04-23,86.83,87.11,84.42,86.08,20874447.83
2026-04-24,86.08,86.92,84.79,86.13,15430513.2
2026-04-25,86.13,86.77,85.48,86.13,7398951.09
2026-04-26,86.13,87.42,85.78,86.87,11134295.62
2026-04-27,86.88,88.08,83.56,84.78,22847021.48
2026-04-28,84.78,84.89,82.91,84.02,13201906.57
2026-04-29,84.02,85.53,81.31,83.01,24379916.39
2026-04-30,83.02,83.99,82.1,83.04,12662855.54
2026-05-01,83.04,84.82,83.02,83.7,14137274.61
2026-05-02,83.7,84.96,83.39,84.23,8328014.53
2026-05-03,84.23,84.95,83.52,83.87,9603998.66
2026-05-04,83.86,85.88,83.18,84.05,27856742.46
2026-05-05,84.05,86.96,83.98,86.24,19355847.11
2026-05-06,86.24,90.13,86.06,89.1,25392916.75
2026-05-07,89.11,90.4,87.47,88.4,24805815.66
2026-05-08,88.4,92.78,87.56,91.97,22101159.25
2026-05-09,91.96,94.16,91.8,93.07,16432966.85
2026-05-10,93.06,96.88,92.54,96.42,25281113.17
2026-05-11,96.42,98.36,94.25,97.31,28231359.08
2026-05-12,97.32,97.63,93.55,94.25,22616406.99
2026-05-13,94.25,95.97,90.2,91.11,30612351.06
2026-05-14,91.11,93.64,89.73,92.11,26901123.31
2026-05-15,92.11,92.62,88.47,89.2,21483200.39
2026-05-16,89.19,89.42,85.44,86.48,15824066.32
2026-05-17,86.48,87.25,83.31,85.17,14867453.54
2026-05-18,85.18,85.75,83.43,85.34,20976628.88
2026-05-19,85.34,85.94,83.62,84.24,12309005.13
2026-05-20,84.25,87.05,83.79,86.11,17687283.9
2026-05-21,86.11,88.02,85.26,87.32,19559938.96
2026-05-22,87.31,87.82,83.91,84.36,17877672.72
2026-05-23,84.36,87.51,81.36,85.71,25014138.05
2026-05-24,85.72,87.23,83.62,85.23,15898574.86
2026-05-25,85.22,86.49,84.64,85.01,10759117.13
2026-05-26,85.01,85.04,84.75,84.75,158737.66
